component_name,source_location,category,variants,sizes,states,usage_locations,figma_recommendation,notes
AppIcon,/Users/musatafa/school-app/components/AppIcon.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,shared,CMP / AppIcon / composite,Shared cross-route component; prioritize tokenization.
AppShellTopbar,/Users/musatafa/school-app/components/AppShellTopbar.tsx,navigation-layout,route-specific composition,64px height,default|hover|active|current|mobile-open,shared,CMP / AppShellTopbar / navigation-layout,Shared cross-route component; prioritize tokenization.
AppSidebar,/Users/musatafa/school-app/components/AppSidebar.tsx,navigation-layout,role=employee|admin|super_admin; state=desktop|mobile,224 desktop width; 280 mobile drawer,default|hover|active|current|mobile-open,shared,CMP / AppSidebar / navigation-layout,Shared cross-route component; prioritize tokenization.
ConfirmDialog,/Users/musatafa/school-app/components/ConfirmDialog.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,shared,CMP / ConfirmDialog / overlay-detail,Shared cross-route component; prioritize tokenization.
DashboardFinanceCharts,/Users/musatafa/school-app/components/DashboardFinanceCharts.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,shared,CMP / DashboardFinanceCharts / composite,Shared cross-route component; prioritize tokenization.
Header,/Users/musatafa/school-app/components/Header.tsx,navigation-layout,route-specific composition,content-driven,default|hover|active|current|mobile-open,shared,CMP / Header / navigation-layout,Shared cross-route component; prioritize tokenization.
LanguageToggle,/Users/musatafa/school-app/components/LanguageToggle.tsx,control-pattern,route-specific composition,content-driven,default|hover|active|disabled|open,shared,CMP / LanguageToggle / control-pattern,Shared cross-route component; prioritize tokenization.
LocaleHtmlAttributes,/Users/musatafa/school-app/components/LocaleHtmlAttributes.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,shared,CMP / LocaleHtmlAttributes / composite,Shared cross-route component; prioritize tokenization.
PingIndicator,/Users/musatafa/school-app/components/PingIndicator.tsx,feedback-state,route-specific composition,content-driven,loading|success|warning|error|empty,shared,CMP / PingIndicator / feedback-state,Shared cross-route component; prioritize tokenization.
ProfileMenu,/Users/musatafa/school-app/components/ProfileMenu.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,shared,CMP / ProfileMenu / composite,Shared cross-route component; prioritize tokenization.
ProtectedRoute,/Users/musatafa/school-app/components/ProtectedRoute.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,shared,CMP / ProtectedRoute / composite,Shared cross-route component; prioritize tokenization.
RoleGuard,/Users/musatafa/school-app/components/RoleGuard.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,shared,CMP / RoleGuard / composite,Shared cross-route component; prioritize tokenization.
SchoolLogo,/Users/musatafa/school-app/components/SchoolLogo.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,shared,CMP / SchoolLogo / composite,Shared cross-route component; prioritize tokenization.
SchoolScopeBanner,/Users/musatafa/school-app/components/SchoolScopeBanner.tsx,feedback-state,route-specific composition,content-driven,loading|success|warning|error|empty,shared,CMP / SchoolScopeBanner / feedback-state,Shared cross-route component; prioritize tokenization.
ThemeModeToggle,/Users/musatafa/school-app/components/ThemeModeToggle.tsx,control-pattern,variant=floating|inline; option=system|light|dark,content-driven,default|hover|active|disabled|open,shared,CMP / ThemeModeToggle / control-pattern,Shared cross-route component; prioritize tokenization.
ThemeToggle,/Users/musatafa/school-app/components/ThemeToggle.tsx,control-pattern,variant=floating|inline; option=system|light|dark,content-driven,default|hover|active|disabled|open,shared,CMP / ThemeToggle / control-pattern,Shared cross-route component; prioritize tokenization.
UltrathinkLogo,/Users/musatafa/school-app/components/UltrathinkLogo.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,shared,CMP / UltrathinkLogo / composite,Shared cross-route component; prioritize tokenization.
BrandLockup,/Users/musatafa/school-app/components/brand/BrandLockup.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,shared,CMP / BrandLockup / composite,Shared cross-route component; prioritize tokenization.
SchoolLogo,/Users/musatafa/school-app/components/brand/SchoolLogo.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,shared,CMP / SchoolLogo / composite,Shared cross-route component; prioritize tokenization.
Breadcrumb,/Users/musatafa/school-app/components/school/Breadcrumb.tsx,navigation-layout,route-specific composition,content-driven,default|hover|active|current|mobile-open,shared,CMP / Breadcrumb / navigation-layout,Shared cross-route component; prioritize tokenization.
DataTableShell,/Users/musatafa/school-app/components/school/DataTableShell.tsx,data-table,state=default|loading|empty|error,content-driven,loading|empty|error|default|filtered|paginated,shared,CMP / DataTableShell / data-table,Shared cross-route component; prioritize tokenization.
ListPagination,/Users/musatafa/school-app/components/school/ListPagination.tsx,data-table,state=default|active-page|disabled,content-driven,loading|empty|error|default|filtered|paginated,shared,CMP / ListPagination / data-table,Shared cross-route component; prioritize tokenization.
SchoolModuleLayout,/Users/musatafa/school-app/components/school/SchoolModuleLayout.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,shared,CMP / SchoolModuleLayout / composite,Shared cross-route component; prioritize tokenization.
skeleton,/Users/musatafa/school-app/components/skeleton.tsx,feedback-state,route-specific composition,content-driven,loading|success|warning|error|empty,shared,CMP / skeleton / feedback-state,Shared cross-route component; prioritize tokenization.
toast,/Users/musatafa/school-app/components/toast.tsx,feedback-state,route-specific composition,content-driven,loading|success|warning|error|empty,shared,CMP / toast / feedback-state,Shared cross-route component; prioritize tokenization.
button,/Users/musatafa/school-app/components/ui/button.tsx,primitive,variant=default|outline|secondary; size=default|sm,sm|default,default|hover|focus|active|disabled,shared,CMP / button / primitive,Shared cross-route component; prioritize tokenization.
card,/Users/musatafa/school-app/components/ui/card.tsx,primitive,route-specific composition,content-driven,default|hover|focus|active|disabled,shared,CMP / card / primitive,Shared cross-route component; prioritize tokenization.
input,/Users/musatafa/school-app/components/ui/input.tsx,primitive,route-specific composition,56px field height,default|hover|focus|active|disabled,shared,CMP / input / primitive,Shared cross-route component; prioritize tokenization.
stats-card,/Users/musatafa/school-app/components/ui/stats-card.tsx,primitive,variant=primary|info|success|warning|danger|neutral,content-driven,default|hover|focus|active|disabled,shared,CMP / stats-card / primitive,Shared cross-route component; prioritize tokenization.
ClassFeesTable,/Users/musatafa/school-app/app/[locale]/dashboard/_components/ClassFeesTable.tsx,data-table,state=default|loading|empty|error,content-driven,loading|empty|error|default|filtered|paginated,dashboard,CMP / ClassFeesTable / data-table,Feature-specific composite; rebuild after shared primitives and shell.
ClassesModal,/Users/musatafa/school-app/app/[locale]/dashboard/_components/ClassesModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,dashboard,CMP / ClassesModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
DashboardActions,/Users/musatafa/school-app/app/[locale]/dashboard/_components/DashboardActions.tsx,control-pattern,route-specific composition,content-driven,default|hover|active|disabled|open,dashboard,CMP / DashboardActions / control-pattern,Feature-specific composite; rebuild after shared primitives and shell.
FeeModal,/Users/musatafa/school-app/app/[locale]/dashboard/_components/FeeModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,dashboard,CMP / FeeModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
FinancialAnalysisPanel,/Users/musatafa/school-app/app/[locale]/dashboard/_components/FinancialAnalysisPanel.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,dashboard,CMP / FinancialAnalysisPanel / composite,Feature-specific composite; rebuild after shared primitives and shell.
NotificationsPanel,/Users/musatafa/school-app/app/[locale]/dashboard/_components/NotificationsPanel.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,dashboard,CMP / NotificationsPanel / composite,Feature-specific composite; rebuild after shared primitives and shell.
OverdueStudentsPanel,/Users/musatafa/school-app/app/[locale]/dashboard/_components/OverdueStudentsPanel.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,dashboard,CMP / OverdueStudentsPanel / composite,Feature-specific composite; rebuild after shared primitives and shell.
RecentActivityPanel,/Users/musatafa/school-app/app/[locale]/dashboard/_components/RecentActivityPanel.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,dashboard,CMP / RecentActivityPanel / composite,Feature-specific composite; rebuild after shared primitives and shell.
RecentPaymentsPanel,/Users/musatafa/school-app/app/[locale]/dashboard/_components/RecentPaymentsPanel.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,dashboard,CMP / RecentPaymentsPanel / composite,Feature-specific composite; rebuild after shared primitives and shell.
SchoolBrandingPanel,/Users/musatafa/school-app/app/[locale]/dashboard/_components/SchoolBrandingPanel.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,dashboard,CMP / SchoolBrandingPanel / composite,Feature-specific composite; rebuild after shared primitives and shell.
StatisticsCards,/Users/musatafa/school-app/app/[locale]/dashboard/_components/StatisticsCards.tsx,summary-card,route-specific composition,content-driven,default|hover|selected|loading|empty,dashboard,CMP / StatisticsCards / summary-card,Feature-specific composite; rebuild after shared primitives and shell.
ArchiveDetailModal,/Users/musatafa/school-app/app/[locale]/payments/_components/ArchiveDetailModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,payments,CMP / ArchiveDetailModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
PaymentModal,/Users/musatafa/school-app/app/[locale]/payments/_components/PaymentModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,payments,CMP / PaymentModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
PaymentsArchive,/Users/musatafa/school-app/app/[locale]/payments/_components/PaymentsArchive.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,payments,CMP / PaymentsArchive / composite,Feature-specific composite; rebuild after shared primitives and shell.
PaymentsFilters,/Users/musatafa/school-app/app/[locale]/payments/_components/PaymentsFilters.tsx,control-pattern,route-specific composition,content-driven,default|hover|active|disabled|open,payments,CMP / PaymentsFilters / control-pattern,Feature-specific composite; rebuild after shared primitives and shell.
PaymentsStats,/Users/musatafa/school-app/app/[locale]/payments/_components/PaymentsStats.tsx,summary-card,variant=primary|info|success|warning|danger|neutral,content-driven,default|hover|selected|loading|empty,payments,CMP / PaymentsStats / summary-card,Feature-specific composite; rebuild after shared primitives and shell.
PaymentsTable,/Users/musatafa/school-app/app/[locale]/payments/_components/PaymentsTable.tsx,data-table,state=default|loading|empty|error,content-driven,loading|empty|error|default|filtered|paginated,payments,CMP / PaymentsTable / data-table,Feature-specific composite; rebuild after shared primitives and shell.
PaymentsToolbar,/Users/musatafa/school-app/app/[locale]/payments/_components/PaymentsToolbar.tsx,control-pattern,route-specific composition,content-driven,default|hover|active|disabled|open,payments,CMP / PaymentsToolbar / control-pattern,Feature-specific composite; rebuild after shared primitives and shell.
StudentDetailPanel,/Users/musatafa/school-app/app/[locale]/payments/_components/StudentDetailPanel.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,payments,CMP / StudentDetailPanel / composite,Feature-specific composite; rebuild after shared primitives and shell.
ArchiveSection,/Users/musatafa/school-app/app/[locale]/salaries/_components/ArchiveSection.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,salaries,CMP / ArchiveSection / composite,Feature-specific composite; rebuild after shared primitives and shell.
CalendarSection,/Users/musatafa/school-app/app/[locale]/salaries/_components/CalendarSection.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,salaries,CMP / CalendarSection / composite,Feature-specific composite; rebuild after shared primitives and shell.
DailyLogModal,/Users/musatafa/school-app/app/[locale]/salaries/_components/DailyLogModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,salaries,CMP / DailyLogModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
DeductionsSection,/Users/musatafa/school-app/app/[locale]/salaries/_components/DeductionsSection.tsx,composite,route-specific composition,content-driven,default|loading|error|empty|success,salaries,CMP / DeductionsSection / composite,Feature-specific composite; rebuild after shared primitives and shell.
ExportModal,/Users/musatafa/school-app/app/[locale]/salaries/_components/ExportModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,salaries,CMP / ExportModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
LessonTimesModal,/Users/musatafa/school-app/app/[locale]/salaries/_components/LessonTimesModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,salaries,CMP / LessonTimesModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
ManagerModals,/Users/musatafa/school-app/app/[locale]/salaries/_components/ManagerModals.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,salaries,CMP / ManagerModals / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
PaySalaryModal,/Users/musatafa/school-app/app/[locale]/salaries/_components/PaySalaryModal.tsx,overlay-detail,size=sm|md|lg; state=default|busy|error,480|720|1120 width families,closed|open|busy|error|success,salaries,CMP / PaySalaryModal / overlay-detail,Feature-specific composite; rebuild after shared primitives and shell.
